step,epoch,loss,lr,eval_loss
10,1,0.443860,0.00010000,
20,1,0.098461,0.00010000,0.212934
30,2,0.153005,0.00010000,
40,2,0.047834,0.00010000,0.196383
50,3,0.013673,0.00010000,
60,3,0.241830,0.00010000,0.185775
70,4,0.324141,0.00010000,
80,4,0.081171,0.00010000,0.179821
90,5,0.273018,0.00010000,
100,5,0.094931,0.00010000,0.177307
110,6,0.226354,0.00010000,
120,6,0.261994,0.00010000,0.172829
130,7,0.118342,0.00010000,
140,7,0.314528,0.00010000,0.170953
150,8,0.060885,0.00010000,
160,8,0.146648,0.00010000,0.169872
170,9,0.030041,0.00010000,
180,9,0.133240,0.00010000,0.169688
190,10,0.307851,0.00010000,
200,10,0.283895,0.00010000,0.169129
210,11,0.273927,0.00010000,
220,11,0.268751,0.00010000,0.167716
230,12,0.195268,0.00010000,
240,12,0.045952,0.00010000,0.167576
250,13,0.009194,0.00010000,
260,13,0.234730,0.00010000,0.166897
270,14,0.320230,0.00010000,
280,14,0.227759,0.00010000,0.165883
290,15,0.008352,0.00010000,
300,15,0.079087,0.00010000,0.165180
310,16,0.134660,0.00010000,
320,16,0.118595,0.00010000,0.164715
330,17,0.327566,0.00010000,
340,17,0.012879,0.00010000,0.166087
350,18,0.153933,0.00010000,
360,18,0.034431,0.00010000,0.165447
370,19,0.333808,0.00010000,
380,19,0.232463,0.00010000,0.164442
390,20,0.018316,0.00010000,
400,20,0.261961,0.00010000,0.166928
410,21,0.270304,0.00010000,
420,21,0.193816,0.00010000,0.164766
430,22,0.162720,0.00010000,
440,22,0.107730,0.00010000,0.163264
450,23,0.021610,0.00010000,
460,23,0.007551,0.00010000,0.163566
470,24,0.263694,0.00010000,
480,24,0.260435,0.00010000,0.162438
490,25,0.208315,0.00010000,
500,25,0.181572,0.00010000,0.162541
510,26,0.030711,0.00010000,
520,26,0.007400,0.00010000,0.162161
530,27,0.272867,0.00010000,
540,27,0.020935,0.00010000,0.161965
550,28,0.009603,0.00010000,
560,28,0.181631,0.00010000,0.161938
570,29,0.132017,0.00010000,
580,29,0.010984,0.00010000,0.161154
590,30,0.113608,0.00010000,
600,30,0.255991,0.00010000,0.160752
